有價證券代號及名稱,國際證券辨識號碼(ISIN,Code),上市日,市場別,產業別,CFICode,
1101,台泥,TW0001101004,2/9/1962,上市,水泥工業,ESVUFR,
1102,亞泥,TW0001102002,6/8/1962,上市,水泥工業,ESVUFR,
1103,嘉泥,TW0001103000,11/14/1969,上市,水泥工業,ESVUFR,
1104,環泥,TW0001104008,2/1/1971,上市,水泥工業,ESVUFR,
1108,幸福,TW0001108009,6/6/1990,上市,水泥工業,ESVUFR,
1109,信大,TW0001109007,12/5/1991,上市,水泥工業,ESVUFR,
1110,東泥,TW0001110005,10/22/1994,上市,水泥工業,ESVUFR,
1201,味全,TW0001201002,2/9/1962,上市,食品工業,ESVUFR,
1203,味王,TW0001203008,8/24/1964,上市,食品工業,ESVUFR,
1210,大成,TW0001210003,5/20/1978,上市,食品工業,ESVUFR,
1213,大飲,TW0001213007,4/10/1981,上市,食品工業,ESVUFR,
1215,卜蜂,TW0001215002,7/27/1987,上市,食品工業,ESVUFR,
1216,統一,TW0001216000,12/28/1987,上市,食品工業,ESVUFR,
1217,愛之味,TW0001217008,10/28/1989,上市,食品工業,ESVUFR,
1218,泰山,TW0001218006,11/11/1989,上市,食品工業,ESVUFR,
1219,福壽,TW0001219004,12/1/1990,上市,食品工業,ESVUFR,
1220,台榮,TW0001220002,11/20/1991,上市,食品工業,ESVUFR,
1225,福懋油,TW0001225001,9/27/1993,上市,食品工業,ESVUFR,
1227,佳格,TW0001227007,4/9/1994,上市,食品工業,ESVUFR,
1229,聯華,TW0001229003,7/19/1976,上市,食品工業,ESVUFR,
1231,聯華食,TW0001231009,11/2/1995,上市,食品工業,ESVUFR,
1232,大統益,TW0001232007,2/9/1996,上市,食品工業,ESVUFR,
1233,天仁,TW0001233005,1/20/1999,上市,食品工業,ESVUFR,
1234,黑松,TW0001234003,3/12/1999,上市,食品工業,ESVUFR,
1235,興泰,TW0001235000,9/11/2000,上市,食品工業,ESVUFR,
1236,宏亞,TW0001236008,9/17/2001,上市,食品工業,ESVUFR,
1256,鮮活果汁-KY,KYG858681003,3/17/2016,上市,食品工業,ESVUFR,
1301,台塑,TW0001301000,7/27/1964,上市,塑膠工業,ESVUFR,
1303,南亞,TW0001303006,11/5/1967,上市,塑膠工業,ESVUFR,
1304,台聚,TW0001304004,5/20/1972,上市,塑膠工業,ESVUFR,
1305,華夏,TW0001305001,3/5/1973,上市,塑膠工業,ESVUFR,
1307,三芳,TW0001307007,11/23/1985,上市,塑膠工業,ESVUFR,
1308,亞聚,TW0001308005,6/20/1986,上市,塑膠工業,ESVUFR,
1309,台達化,TW0001309003,6/27/1986,上市,塑膠工業,ESVUFR,
